"obs","LONGITUDE","LATITUDE","bio1","bio4","bio8","bio9","bio11","bio12","bio16","bio19"
NA,-2.22783,53.81086,86,4612,38,106,29,1273,408,364
1,6.28979,48.41927,93,6060,169,52,14,810,226,206
1,6.43127,51.35879,100,5771,173,60,25,785,226,188
1,12.54972,55.84963,81,6282,157,26,4,638,201,122
1,16.745,57.9237,72,6758,153,13,-10,518,169,115
1,12.1289,55.11998,83,5959,155,27,9,582,176,114
1,10.08,53.26,84,6343,164,36,2,709,223,159
1,10.42,51.56,77,6221,156,4,-3,761,237,174
1,2.85213,47.5017,108,5724,164,70,33,703,190,177
1,4.80766,51.43891,97,5449,68,56,28,796,220,194
1,-2.7873,51.20105,93,4663,44,112,37,887,276,253
1,12.75,48.26,82,7007,169,3,-12,997,366,192
1,-2.85368,54.7069,78,4583,52,100,21,993,306,263
1,-5.43094,50.16369,99,3968,60,135,51,1077,386,360
1,12.30339,55.00708,84,5982,157,29,10,570,173,111
1,9.54008,55.68087,74,5969,82,22,-1,762,243,155
1,3.73799,50.78184,100,5435,70,61,29,776,218,190
1,3.87809,50.94432,101,5460,71,62,31,777,219,189
1,4.36185,51.18804,101,5462,71,60,31,780,217,189
1,7.08,51.16,96,5871,170,54,20,844,253,201
1,16.6942,59.5493,60,7432,146,-1,-33,565,202,111
1,3.45198,50.90582,101,5245,73,62,34,731,212,174
1,4.33852,51.69657,97,5325,109,54,31,778,227,187
1,4.3193,50.82846,102,5626,69,64,28,800,219,196
1,2.65851,48.97446,110,5696,114,72,36,646,172,156
1,12.30475,55.69879,83,6200,158,28,7,606,190,114
1,-1.17176,53.44863,94,4612,46,58,37,683,188,172
1,3.18212,50.89442,101,5199,74,62,34,716,210,169
1,11.9152,53.5485,83,6330,165,31,3,595,192,130
1,12.27559,55.56413,84,6124,158,30,9,600,185,115
1,4.26685,51.72562,98,5273,110,54,32,768,226,184
1,15.0828,58.1938,60,6912,140,3,-25,591,200,126
1,3.92043,50.98044,101,5460,71,62,31,777,219,189
1,12.2337,57.7944,70,6626,79,56,-13,880,278,218
1,12.46266,55.93811,80,6271,155,24,2,632,200,119
1,7.75,49.06,89,6239,168,47,8,728,221,168
1,-3.16922,54.88403,87,4410,92,108,32,939,291,243
1,-1.45431,54.88843,87,4212,122,52,34,660,186,161
1,9.62483,47.49445,85,6639,168,12,-3,1141,408,216
1,6.19176,48.66242,94,6039,170,53,16,775,216,195
1,12.75,48.86,80,7116,169,35,-15,786,274,168
1,-4.09939,54.78162,84,4307,61,102,30,1098,366,310
1,-1.46728,53.89978,92,4502,45,56,36,678,187,170
1,6.92,51.56,99,5766,172,58,24,818,233,198
1,11.9814,57.6495,74,6592,125,17,-9,761,246,178
1,6.54139,49.67488,91,5952,167,50,15,740,207,180
1,-2.83531,53.80817,90,4647,95,54,31,933,295,231
1,40.54,55.52,46,10571,177,-26,-92,602,212,115
1,4.29077,50.91834,102,5565,70,64,30,790,217,192
1,6.62473,49.52488,90,5999,166,48,13,784,213,195
1,2.98674,51.25191,101,4966,115,62,37,662,211,151
1,9.66076,47.39915,85,6639,168,12,-3,1141,408,216
1,8.37478,49.92491,99,6502,181,27,14,584,188,123
1,9.42,50.06,84,6512,166,41,-1,748,227,168
1,12.42,49.16,73,7024,160,27,-20,761,266,161
1,2.54224,48.8598,110,5696,114,72,36,646,172,156
1,9.75,52.76,87,6157,165,41,8,676,214,149
1,11.9806,57.782,73,6536,124,18,-9,764,245,179
1,5.68542,51.69972,95,5513,165,54,24,770,216,187
1,3.8091,50.76422,100,5435,70,61,29,776,218,190
1,4.74804,51.18743,99,5478,69,58,29,792,216,193
1,16.27642,48.21278,91,7146,182,11,-2,660,232,121
1,7.75,48.66,102,6440,168,32,18,650,217,118
1,4.24972,51.77665,98,5273,110,54,32,768,226,184
1,-4.24428,51.72181,101,4353,80,119,48,1094,368,318
1,6.58,50.56,82,5713,154,42,9,928,265,242
1,10.3625,55.34878,80,5831,90,29,9,609,184,135
1,13.92,51.06,81,6791,168,3,-6,633,223,122
1,13.4258,48.4058,87,7205,176,42,-10,1005,334,234
1,1.94133,48.8161,103,5455,109,67,32,643,173,159
1,6.75,51.36,101,5880,161,60,25,807,230,195
1,17.6188,59.0943,67,7166,152,7,-20,524,179,114
1,-3.13176,53.53604,92,4514,98,56,35,830,263,199
1,24.98678,60.1938,49,8110,143,-19,-51,650,221,135
1,5.8027,51.06246,98,5524,169,57,28,772,219,181
1,7.92,48.56,103,6485,169,32,19,685,225,131
1,4.71778,51.72677,96,5353,107,53,29,790,225,190
1,2.93146,49.15475,104,5607,108,67,31,644,171,157
1,12.55919,56.03118,78,6330,154,22,0,661,211,125
1,7.92,53.76,88,5539,158,39,19,786,231,175
1,10.42,50.26,82,6667,166,7,-5,631,197,139
1,14.08,51.56,90,6927,178,10,0,583,200,118
1,-1.31801,53.71924,94,4488,131,59,39,628,171,153
1,4.58971,50.98108,102,5582,69,63,29,790,212,192
1,8.58,52.56,88,5852,161,44,13,769,236,180
1,6.18401,52.17961,93,5466,162,52,23,767,222,184
1,12.30179,55.69963,83,6200,158,28,7,606,190,114
1,12.53024,55.74877,83,6218,158,30,8,627,195,141
1,5.01737,51.81753,95,5381,66,52,27,791,221,192
1,9.58,48.16,80,6556,163,8,-5,925,332,173
1,-1.46842,53.8099,94,4510,47,58,39,678,186,169
1,4.85336,49.23043,97,5831,30,59,21,797,220,210
1,-1.61022,54.88903,85,4238,122,51,32,658,188,158
1,7.92,49.46,84,6185,161,42,3,734,219,182
1,9.08,48.56,87,6373,167,17,4,775,266,149
1,6.09331,49.29495,95,5990,27,55,18,792,213,201
1,-3.46466,54.43139,80,4494,56,100,24,1069,343,291
1,4.41864,50.81048,99,5636,66,62,26,823,224,203
1,12.54842,55.831,83,6218,158,30,8,627,195,141
1,12.55221,55.84895,81,6282,157,26,4,638,201,122
1,6.92,49.36,91,6058,168,49,13,762,213,192
1,2.45523,48.8655,111,5704,115,74,38,645,173,155
1,2.49358,48.7158,112,5719,116,75,38,639,170,155
1,5.76006,51.87831,94,5475,164,52,24,775,218,189
1,-4.15218,55.76949,78,4296,54,97,25,1200,386,343
1,2.38543,48.7623,112,5719,116,75,38,639,170,155
1,4.23592,51.77786,98,5273,110,54,32,768,226,184
1,13.92,52.76,86,7011,174,36,-6,565,188,120
1,4.40449,50.86442,102,5599,70,64,29,787,214,191
1,14.12263,55.63492,75,6102,150,20,2,615,187,145
1,3.90673,50.92646,101,5460,71,62,31,777,219,189
1,10.08,53.76,83,6168,162,35,4,750,228,177
1,11.42,48.16,79,6742,164,4,-9,950,361,164
1,3.48565,49.78294,99,5417,164,62,29,638,177,158
1,11.9788,57.888,70,6565,81,15,-12,773,248,179
1,-1.32233,53.44958,94,4612,46,58,37,683,188,172
1,0.2094,51.00294,98,4785,73,145,40,707,225,193
1,-3.20152,55.96219,81,4243,87,47,29,783,231,193
1,9.08,53.46,85,5946,159,38,8,750,232,166
1,13.42,48.46,87,7205,176,42,-10,1005,334,234
1,10.08,52.96,85,6258,165,38,4,686,217,152
1,-1.61108,54.79916,85,4325,122,50,31,675,191,164
1,2.75163,48.4539,110,5743,167,72,35,642,172,158
1,0.87184,45.89467,112,5363,52,181,42,971,285,274
1,8.42,52.46,89,5823,161,45,14,798,239,192
1,7.42,49.46,87,6045,163,46,8,704,209,176
1,8.58,50.56,89,6324,154,46,7,738,208,175
1,3.33627,50.99476,101,5245,73,62,34,731,212,174
1,4.31925,50.8824,102,5565,70,64,30,790,217,192
1,2.60867,51.02211,103,4951,116,64,40,676,211,153
1,9.21266,56.22257,74,5901,81,23,0,763,249,147
1,4.36189,50.77454,99,5636,66,62,26,823,224,203
1,4.31075,51.7299,98,5273,110,54,32,768,226,184
1,-2.58242,51.41358,95,4629,47,114,39,846,261,237
1,2.5261,48.7476,110,5725,167,72,35,652,172,159
1,1.841,48.87941,105,5396,111,69,35,632,172,156
1,12.75,51.66,90,6724,175,13,3,549,189,107
1,12.29547,55.66115,84,6124,158,30,9,600,185,115
1,10.01276,47.82778,68,6474,150,-5,-17,1055,378,200
1,9.91241,51.54292,83,6126,160,11,3,695,230,153
1,17.8516,59.3982,68,7336,154,7,-22,536,187,112
1,3.55952,47.8962,110,5844,168,73,34,647,177,161
1,9.75,47.56,82,6642,166,8,-5,1130,401,217
1,6.32366,51.95844,96,5582,166,55,24,765,224,185
1,13.08,48.76,84,7166,172,38,-12,867,291,198
1,11.77736,55.2221,83,6029,156,26,7,584,177,113
1,-4.31679,55.85638,82,4262,58,101,30,1238,400,359
1,8.75,47.76,88,6431,169,17,5,978,329,197
1,4.29089,50.84643,102,5565,70,64,30,790,217,192
1,4.43289,50.85542,102,5599,70,64,29,787,214,191
1,-1.71,43.21,126,4523,77,182,70,1336,434,404
1,9.90985,56.9971,74,6073,81,21,-2,683,216,134
1,11.58,49.36,75,6680,160,31,-12,729,246,156
1,0.12069,52.17377,97,4878,157,61,36,550,150,125
1,4.43288,50.84643,102,5599,70,64,29,787,214,191
1,4.44703,50.81945,99,5636,66,62,26,823,224,203
1,10.08,52.36,88,6129,166,17,9,658,211,144
1,4.23546,51.76752,98,5273,110,54,32,768,226,184
1,4.23546,51.76752,98,5273,110,54,32,768,226,184
1,4.70292,50.88193,100,5580,68,61,28,793,211,192
1,16.2192,59.0115,61,7205,145,2,-27,595,201,125
1,-2.38382,54.2599,71,4566,24,91,15,1341,439,395
1,9.75,52.26,88,6070,165,43,10,676,215,150
1,11.25,49.96,78,6536,161,33,-7,695,225,155
1,4.73432,51.7349,96,5353,107,53,29,790,225,190
1,1.841,48.87941,105,5396,111,69,35,632,172,156
1,10.7218,53.90861,85,6289,165,34,5,668,202,156
1,12.5818,53.7485,81,6391,164,27,2,559,191,117
1,11.92,50.76,76,6422,157,2,-7,646,214,137
1,2.61442,50.86934,103,4987,115,64,39,675,210,154
1,10.58,52.56,87,6279,168,14,7,622,201,133
1,15.9199,59.087,62,7202,145,2,-27,603,205,126
1,12.0966,57.791,71,6584,80,15,-11,831,264,203
1,-1.18208,52.90929,98,4945,44,62,36,655,177,164
1,11.08,48.56,84,6774,169,8,-6,795,291,146
1,2.36556,50.59047,102,5036,112,63,37,667,205,158
1,-4.08169,55.79317,78,4296,54,97,25,1200,386,343
1,-1.34819,51.74144,97,4661,72,61,38,621,180,152
1,4.48149,51.7121,97,5325,109,54,31,778,227,187
1,9.92,52.06,83,6069,160,38,5,744,233,172
1,2.76615,49.0063,105,5629,110,68,32,651,173,158
1,13.1998,57.4856,62,6611,110,6,-20,886,269,214
1,4.23592,51.77786,98,5273,110,54,32,768,226,184
1,12.34958,55.6028,85,6157,159,32,11,603,188,134
1,1.81292,46.7428,110,5545,47,72,38,737,198,190
1,4.71403,51.73529,96,5353,107,53,29,790,225,190
1,9.01051,50.61603,84,6369,149,41,0,753,221,171
1,9.68711,53.60111,85,6143,163,38,6,755,231,174
1,2.50882,48.8658,110,5696,114,72,36,646,172,156
1,-1.6211,53.72059,93,4523,47,57,38,753,213,194
1,4.85875,50.83643,99,5572,154,59,27,801,213,195
1,-0.34766,51.3719,103,5042,73,66,40,632,182,157
1,-1.92486,53.36158,82,4672,34,129,26,1154,361,335
1,4.23546,51.76752,98,5273,110,54,32,768,226,184
1,6.42,49.46,93,6036,25,52,16,790,212,197
1,-1.92925,50.66407,99,4403,56,141,47,824,276,253
1,10.25,49.56,86,6675,171,12,-1,666,216,145
1,12.04182,55.81279,83,6201,158,27,6,602,188,113
1,4.23546,51.76752,98,5273,110,54,32,768,226,184
1,18.1402,59.4703,69,7342,156,8,-20,530,185,112
1,3.34568,49.60371,98,5445,163,61,27,631,176,158
1,1.89837,46.9854,110,5599,47,73,37,708,189,181
1,0.55064,46.9921,115,5471,53,185,44,705,203,192
1,3.15579,50.81325,101,5228,111,62,33,689,200,159
1,4.72864,51.72638,96,5353,107,53,29,790,225,190
1,3.7915,51.04281,102,5327,75,62,34,755,218,181
1,-3.32213,54.79258,82,4459,57,103,26,1022,318,273
1,11.7486,54.0484,83,6246,162,29,5,614,191,137
1,9.08,48.96,96,6379,176,25,13,696,238,133
1,12.4155,57.1092,75,6601,125,17,-7,809,257,187
1,4.23153,51.77962,98,5273,110,54,32,768,226,184
1,4.09371,51.65817,100,5288,74,56,33,761,223,182
1,3.31695,51.21933,101,5094,77,60,36,727,222,173
1,4.03461,50.94486,103,5502,72,64,31,778,217,189
1,-1.48896,52.10181,92,4707,67,55,32,634,177,154
1,12.0819,53.7485,84,6321,165,31,5,582,192,125
1,4.17638,51.07103,103,5487,72,63,32,774,216,187
1,16.4699,57.2788,73,6621,153,16,-8,507,165,112
1,12.75778,55.59556,81,6160,155,29,7,602,188,135
1,4.9596,50.95283,99,5572,154,59,27,801,213,195
1,11.25,50.26,79,6575,162,4,-6,642,211,138
1,8.75,53.86,84,5910,158,37,8,781,235,171
1,4.46126,50.83742,102,5599,70,64,29,787,214,191
1,13.75,52.26,92,6962,179,11,1,542,181,116
1,11.97757,55.57528,81,6103,155,25,5,613,185,120
1,-1.62029,53.81047,93,4523,47,57,38,753,213,194
1,11.58,47.86,76,6796,160,0,-14,988,383,168
1,4.72007,51.73044,96,5353,107,53,29,790,225,190
1,9.08,53.76,84,5924,158,36,7,778,236,174
1,8.25,47.86,65,6004,141,21,-12,1257,374,302
1,4.41862,50.7925,99,5636,66,62,26,823,224,203
1,10.75,52.06,87,6272,167,14,7,597,196,124
1,14.87101,59.06033,60,7147,143,1,-28,633,214,134
1,4.61829,50.999,102,5582,69,63,29,790,212,192
1,3.51831,51.16701,102,5227,77,60,35,741,220,177
1,11.92,51.06,84,6365,165,11,3,567,197,108
1,7.58,51.86,93,5657,164,52,20,802,228,196
1,14.0816,53.9485,88,7079,178,35,-4,546,175,112
1,5.95814,52.16237,91,5469,160,49,21,798,226,197
1,11.9919,57.5091,74,6592,125,17,-9,761,246,178
1,3.59324,50.96077,101,5329,73,62,33,747,214,180
1,11.6105,55.22408,82,6025,156,25,7,584,177,113
1,0.14675,52.71286,97,4913,157,62,35,575,155,135
1,12.39978,55.99523,80,6271,155,24,2,632,200,119
1,0.28064,52.44058,96,4865,159,61,35,549,152,124
1,-0.49915,49.19387,106,4605,114,70,48,696,216,182
1,-1.78009,52.28255,94,4585,46,57,37,639,175,159
1,6.58,49.76,91,5952,167,50,15,740,207,180
1,0.11643,52.08392,97,4903,69,60,35,580,158,137
1,4.48315,51.69778,97,5325,109,54,31,778,227,187
1,4.73766,51.73421,96,5353,107,53,29,790,225,190
1,10.42,49.66,86,6672,170,11,-2,661,217,142
1,12.08,49.06,82,7084,170,37,-12,671,242,132
1,-4.11553,55.84338,81,4315,57,100,28,1163,372,333
1,9.08,51.46,86,6067,148,44,8,803,233,195
1,0.43757,52.61731,95,4925,155,60,32,569,156,131
1,12.44234,55.7734,83,6207,158,29,8,620,193,119
1,6.42,51.76,98,5654,169,58,24,768,224,184
1,9.10137,55.92241,75,5791,83,25,4,819,270,162
1,9.83775,50.198,80,6617,163,36,-7,733,221,166
1,-3.04135,55.96365,84,4296,118,50,31,727,214,172
1,13.5122,48.5425,79,7167,168,33,-17,992,321,242
1,2.52274,48.88406,110,5696,114,72,36,646,172,156
1,-2.49526,50.66304,99,4523,56,113,46,812,266,248
1,6.30401,48.59887,94,6039,170,53,16,775,216,195
1,6.75,49.46,93,6081,170,51,15,757,209,188
1,-3.00978,53.4832,93,4344,99,57,39,777,243,185
1,10.27241,53.53064,83,6291,164,35,3,717,222,165
1,13.58,53.66,82,6687,168,31,-3,571,186,118
